Date,Open,High,Low,Close,Adj Close,Volume
1/19/2021,18.07999992,18.18000031,17.95000076,18.12000084,17.39161491,7179600
1/20/2021,18.37000084,18.46999931,18.29000092,18.39999962,17.66036034,5408500
1/21/2021,18.38999939,18.39999962,18.14999962,18.20000076,17.46840096,7963400
1/22/2021,18.22999954,18.27000046,18.05999947,18.18000031,17.44920349,5663500
1/25/2021,18.14999962,18.21999931,17.84000015,17.92000008,17.19965553,6012600
1/26/2021,17.92000008,17.92000008,17.75,17.85000038,17.13246918,5472600
1/27/2021,17.64999962,17.88999939,17.44000053,17.46999931,16.76774216,11388300
1/28/2021,17.45999908,17.75,17.40999985,17.63999939,16.93091011,7877600
1/29/2021,17.15999985,17.22999954,16.87999916,16.87999916,16.20146179,9671400
2/1/2021,17.19000053,17.42000008,17.04999924,17.37999916,16.68136215,5829200
2/2/2021,17.45000076,17.51000023,17.34000015,17.44000053,16.73895073,4119800
2/3/2021,17.60000038,17.75,17.48999977,17.64999962,16.94050789,4677800
2/4/2021,17.54000092,17.63999939,17.36000061,17.59000015,16.88291931,4439600
2/5/2021,17.5,17.64999962,17.38999939,17.62999916,16.92131042,6952900
2/8/2021,17.98999977,18.01000023,17.80999947,17.95999908,17.23804855,3621600
2/9/2021,17.86000061,17.87999916,17.62999916,17.63999939,16.93091011,7973500
2/10/2021,17.81999969,17.81999969,17.42000008,17.5,16.79653931,13180500
2/11/2021,17.64999962,17.92000008,17.62999916,17.82999992,17.11327171,6324400
2/12/2021,17.89999962,18.15999985,17.88999939,18.06999969,17.34362602,9810300
2/16/2021,17.82999992,17.89999962,17.65999985,17.75,17.03648758,5857800
2/17/2021,17.62000084,17.71999931,17.47999954,17.60000038,16.892519,8422200
2/18/2021,17.68000031,17.82999992,17.59000015,17.82999992,17.11327171,12267700
2/19/2021,17.86000061,17.98999977,17.85000038,17.94000053,17.218853,8937800
2/22/2021,17.53000069,17.68000031,17.5,17.61000061,16.90211678,10941900
2/23/2021,17.44000053,17.5,17.14999962,17.37999916,16.68136215,8335700
2/24/2021,17.48999977,17.75,17.29999924,17.68000031,16.96930313,8022800
2/25/2021,17.54999924,17.70999908,17.29000092,17.38999939,16.69095802,7412800
2/26/2021,17.20000076,17.29000092,16.94000053,17.12000084,16.4318161,7422400
3/1/2021,17.42000008,17.67000008,17.37999916,17.65999985,16.95010567,7592500
3/2/2021,17.92000008,18.09000015,17.79000092,18.02000046,17.29563713,10306600
3/3/2021,18.40999985,18.61000061,18.11000061,18.45999908,17.71794701,22911800
3/4/2021,18.29000092,18.68000031,18.01000023,18.17000008,17.43960381,11867600
3/5/2021,18.25,18.29999924,17.84000015,18.28000069,17.54518509,8946500
3/8/2021,18.29000092,18.40999985,17.97999954,17.97999954,17.25724411,8450900
3/9/2021,18.44000053,18.62999916,18.37000084,18.60000038,17.85232162,7090100
3/10/2021,18.79000092,18.79999924,18.56999969,18.68000031,17.92910576,7418300
3/11/2021,18.90999985,19.15999985,18.85000038,19.07999992,18.31302452,5679200
3/12/2021,18.79999924,18.92000008,18.75,18.90999985,18.14985847,7452500
3/15/2021,18.90999985,19.15999985,18.85000038,19.14999962,18.38020897,5134500
3/16/2021,19.21999931,19.37000084,19.15999985,19.32999992,18.5529747,7418200
3/17/2021,19.19000053,19.20000076,18.85000038,19.10000038,18.33222198,9004400
3/18/2021,18.67000008,18.72999954,18.35000038,18.37999916,17.64116287,9617900
3/19/2021,18.55999947,18.79000092,18.38999939,18.75,17.99629021,17303400
3/22/2021,18.95999908,19.18000031,18.79999924,19.06999969,18.30342674,6428000
3/23/2021,18.95000076,18.95000076,18.70000076,18.70999908,17.95789909,8851000
3/24/2021,18.73999977,18.84000015,18.57999992,18.65999985,17.9099102,8412700
3/25/2021,18.46999931,18.55999947,18.25,18.45999908,17.71794701,6647900
3/26/2021,18.53000069,18.71999931,18.29999924,18.71999931,17.96749687,13425300
3/29/2021,18.70000076,18.73999977,18.36000061,18.43000031,17.68915367,8066300
3/30/2021,18.79000092,18.90999985,18.75,18.79999924,18.04428101,7845100
3/31/2021,18.75,18.82999992,18.65999985,18.71999931,17.96749687,8991400
4/1/2021,18.92000008,19.04000092,18.87000084,19.01000023,18.24583817,4213100
4/5/2021,19.26000023,19.38999939,19.14999962,19.37000084,18.59136772,3919100
4/6/2021,19.32999992,19.40999985,19.30999947,19.34000015,18.56257629,4428600
4/7/2021,19.32999992,19.32999992,19.15999985,19.20999908,18.43779755,4643600
4/8/2021,19.37999916,19.39999962,19.20999908,19.31999969,18.54337692,3862300
4/9/2021,19.35000038,19.55999947,19.34000015,19.54000092,18.75453568,5214200
4/12/2021,19.12999916,19.21999931,19,19.12000084,18.35141945,8059200
4/13/2021,18.78000069,18.88999939,18.39999962,18.40999985,17.66995621,11356300
4/14/2021,17.5,17.87999916,17.23999977,17.30999947,16.61417389,16177500
4/15/2021,18.02000046,18.12999916,17.87000084,18,17.27643967,13117600
4/16/2021,18.17000008,18.54999924,18.04999924,18.18000031,17.44920349,15005500
4/19/2021,18.14999962,18.29000092,18.05999947,18.26000023,17.52598763,5469500
4/20/2021,18.06999969,18.11000061,17.89999962,18.03000069,17.30523491,6985200
4/21/2021,17.97999954,18.20000076,17.90999985,18.10000038,17.37241936,7225100
4/22/2021,18.04000092,18.05999947,17.80999947,17.85000038,17.13246918,9373800
4/23/2021,17.80999947,17.95999908,17.77000046,17.88999939,17.17086029,4617800
4/26/2021,17.97999954,18.01000023,17.84000015,18.01000023,17.28603745,5313100
4/27/2021,18.09000015,18.12000084,17.93000031,18.11000061,17.38201714,5042200
4/28/2021,18.14999962,18.36000061,18.14999962,18.22999954,17.49719238,5157000
4/29/2021,18.39999962,18.45999908,18.27000046,18.45999908,17.71794701,6545400
4/30/2021,18.26000023,18.37000084,18.07999992,18.07999992,17.3532238,7073500
5/3/2021,18.25,18.27000046,18.14999962,18.20000076,17.46840096,3800500
5/4/2021,18,18.11000061,17.92000008,18.11000061,17.38201714,4087700
5/5/2021,18.30999947,18.34000015,18.14999962,18.29000092,17.55478096,3762400
5/6/2021,18.35000038,18.62000084,18.31999969,18.60000038,17.85232162,10426600
5/7/2021,18.62000084,18.64999962,18.37999916,18.37999916,17.64116287,5220800
5/10/2021,18.29999924,18.44000053,18.27000046,18.36000061,17.62196922,9179500
5/11/2021,18.12999916,18.20000076,18.02000046,18.19000053,17.45880127,3729400
5/12/2021,18.04999924,18.15999985,17.80999947,17.84000015,17.12287331,5670600
5/13/2021,17.90999985,18.05999947,17.82999992,17.87999916,17.16126251,6264900
5/14/2021,18.02000046,18.18000031,17.97999954,18.15999985,17.43000603,3293200
5/17/2021,18.18000031,18.21999931,18.10000038,18.17000008,17.43960381,2734500
5/18/2021,18.31999969,18.47999954,18.26000023,18.26000023,17.52598763,5303000
5/19/2021,18.19000053,18.45000076,18.18000031,18.44000053,17.69875336,4322700
5/20/2021,18.44000053,18.69000053,18.43000031,18.64999962,17.90031052,7019600
5/21/2021,18.79999924,18.82999992,18.70000076,18.71999931,17.96749687,6448300
5/24/2021,18.64999962,18.70999908,18.61000061,18.67000008,17.91950607,3840400
5/25/2021,18.85000038,18.94000053,18.70999908,18.72999954,17.97709465,7172000
5/26/2021,19.18000031,19.36000061,19.12000084,19.26000023,18.48579025,3753500
5/27/2021,19.40999985,19.47999954,19.37000084,19.37000084,18.59136772,2931900
5/28/2021,19.29000092,19.40999985,19.23999977,19.34000015,18.75623894,2151400
6/1/2021,19.17000008,19.32999992,19.11000061,19.27000046,18.68834877,9107300
6/2/2021,19.09000015,19.29000092,19.07999992,19.29000092,18.70774841,6886400
6/3/2021,19.18000031,19.26000023,19.09000015,19.13999939,18.56227303,5827400
6/4/2021,19.20999908,19.29000092,19.07999992,19.29000092,18.70774841,6484000
6/7/2021,19.29000092,19.47999954,19.21999931,19.39999962,18.81442642,10765100
6/8/2021,19.57999992,19.64999962,19.38999939,19.5,18.91140747,7916900
6/9/2021,19.5,19.70000076,19.5,19.65999985,19.06657791,4972800
6/10/2021,19.78000069,19.90999985,19.71999931,19.88999939,19.2896347,6716400
6/11/2021,19.98999977,20.54999924,19.92000008,20.54000092,19.92001724,14076000
6/14/2021,20.36000061,20.60000038,20.30999947,20.45000076,19.83273506,10214000
6/15/2021,20.63999939,20.63999939,20.20999908,20.22999954,19.61937332,7477400
6/16/2021,20.40999985,20.5,20.29999924,20.37999916,19.7648468,5797500
6/17/2021,20.46999931,20.73999977,20.42000008,20.67000008,20.04609299,8568500
6/18/2021,20.59000015,20.63999939,20.15999985,20.19000053,19.58057976,11423400
6/21/2021,20.37999916,20.54000092,20.30999947,20.53000069,19.91031837,4007600
6/22/2021,20.5,20.78000069,20.40999985,20.76000023,20.13337517,5596100
6/23/2021,20.54999924,20.70999908,20.52000046,20.69000053,20.06549072,5710100
6/24/2021,21.35000038,21.45000076,21.19000053,21.19000053,20.55039787,5937000
6/25/2021,21.43000031,21.51000023,21.12999916,21.25,20.60858536,5249200
6/28/2021,21.37000084,21.5,21.20000076,21.29000092,20.64737892,4669000
6/29/2021,21.30999947,21.5,21.21999931,21.45000076,20.80254936,4748600
6/30/2021,21.40999985,21.43000031,21.17000008,21.19000053,20.55039787,6493500
7/1/2021,21.18000031,21.23999977,20.84000015,20.95999908,20.32733727,4670600
7/2/2021,21.10000038,21.14999962,21.02000046,21.06999969,20.43401909,4908600
7/6/2021,21.03000069,21.11000061,20.97999954,21.11000061,20.47281075,5728600
7/7/2021,21.20000076,21.22999954,20.95999908,21.18000031,20.54069901,4256200
7/8/2021,20.87000084,20.95000076,20.75,20.95000076,20.31764221,5439400
7/9/2021,21.06999969,21.34000015,20.98999977,21.34000015,20.69586945,4808400
7/12/2021,21.04999924,21.11000061,21.01000023,21.04999924,20.41462135,5247100
7/13/2021,20.89999962,21.09000015,20.87999916,21.04999924,20.41462135,8872500
7/14/2021,21.53000069,21.87000084,21.28000069,21.38999939,20.74435997,6837200
7/15/2021,21.34000015,21.39999962,21.06999969,21.12999916,20.49220657,5026900
7/16/2021,21.07999992,21.20000076,20.79999924,20.86000061,20.23035812,10653200
7/19/2021,20.62000084,20.77000046,20.5,20.63999939,20.01699829,6212800
7/20/2021,20.73999977,21.02000046,20.73999977,20.94000053,20.30794144,3727700
7/21/2021,20.97999954,21.31999969,20.94000053,21.30999947,20.66677475,4023500
7/22/2021,21.45000076,21.48999977,21.30999947,21.32999992,20.68617058,4106800
